assetRes-string,dropId-int,exp-int,homeAction-int[],icon-string,id-int,initialAttribute-int[][],lv-int,name-string,progressScore-int,rankScore-int,tokenTaskLevel-int[],totemScore-int,worldDropGroup-int
2D_caijiziyuan_shumu01_1,27,15,6,2D_caijiziyuan_shumu01_1,4,"60,0,0;61,100,0;62,0,0;63,120,0;76,750,0",1,Lv 1  보통 목재#4,2,14,"0, 1",1,1
Slice_12,27,15,6,Slice_12,5,"60,0,0;61,100,0;62,0,0;63,120,0;76,750,0",1,Lv 1  보통 목재#5,2,14,999,1,1
2D_caijiziyuan_xianrenzhang,28,21.21320344,6,2D_caijiziyuan_xianrenzhang,6,"60,0,0;61,200,0;62,0,0;63,225,0;76,1500,0",2,Lv 2  사막 나무 목재#6,4,20,2,2,2
2D_caijiziyuan_hongguoshi,34,30,5,2D_caijiziyuan_hongguoshi,7,"60,300,0;61,0,0;62,0,0;63,330,0;76,2250,0",3,Lv 3  마게이#7,8,28,3,3,3
2D_caijiziyuan_shikuai_3,26,15,7,2D_caijiziyuan_shikuai_3,8,"60,0,0;61,0,0;62,100,0;63,120,0;76,750,0",1,Lv 1  미네랄#8,2,14,"0, 1",1,1
2D_caijiziyuan_heitikuang,30,21.21320344,7,2D_caijiziyuan_heitikuang,9,"60,0,0;61,0,0;62,200,0;63,225,0;76,1500,0",2,Lv 2  어두운 철#9,4,20,2,2,2
2D_caijiziyuan_hongbaoshi,31,30,7,2D_caijiziyuan_hongbaoshi,11,"60,0,0;61,0,0;62,300,0;63,330,0;76,2250,0",3,Lv 3  빨간 크리스탈 광석#11,8,28,3,3,3
Slice_11,32,15,5,Slice_11,14,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#14,2,14,"0, 1",1,1
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,5,2D_caijiziyuan_bingyuanzhiwu,15,"60,200,0;61,0,0;62,0,0;63,225,0;76,1500,0",2,Lv 2  얼어붙은 곰팡이#15,4,20,2,2,2
2D_caijiziyuan_anheimucai,29,30,6,2D_caijiziyuan_anheimucai,16,"60,0,0;61,300,0;62,0,0;63,330,0;76,2250,0",3,Lv 3  어두운 목재#16,8,28,3,3,3
homeresource-19,0,0,5,homeresource-19,19,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#19,2,14,999,1,0
homeresource-20,32,15,5,homeresource-20,20,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#20,2,14,"0, 1",1,1
2D_caijiziyuan_cao3,0,0,5,2D_caijiziyuan_cao3,21,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#21,2,14,999,1,0
homeresource-22,0,0,5,homeresource-22,22,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#22,2,14,999,1,0
homeresource-24,0,0,5,homeresource-24,24,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#24,2,14,999,1,0
homeresource-25,0,0,5,homeresource-25,25,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#25,2,14,999,1,0
homeresource-26,0,0,5,homeresource-26,26,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#26,2,14,999,1,0
homeresource-27,0,0,5,homeresource-27,27,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#27,2,14,999,1,0
homeresource-28,0,0,5,homeresource-28,28,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,#28,2,14,999,1,0
homeresource-29,0,0,6,homeresource-29,29,"60,0,0;61,100,0;62,0,0;63,120,0;76,750,0",1,Lv 1  보통 목재#29,2,14,999,1,0
homeresource-30,0,0,5,homeresource-30,30,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#30,2,14,999,1,0
homeresource-31,0,0,5,homeresource-31,31,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#31,2,14,999,1,0
homeresource-32,0,0,5,homeresource-32,32,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  식물 섬유#32,2,14,999,1,0
